Site,Reach,Year,SR,secchi,SumOfDP01,SumOfDP05,SumOfDP10,SumOfDT00,SumOfDT32,SumOfDT90,SumOfDX32,SumOfDSNW,EMXPavgcm,EMXPmaxcm,EMXPmincm,MXSDmaxcm,TPCPmaxcm,TPCPcm,TPCPavgcm,TPCPmincm,TSNWcm,EMNTavgC,EMNTmaxC,EMNTminC,EMXTavgC,EMXTmaxC,EMXTminC,MMNTavgC,MMNTmaxC,MMNTminC,MMXTavgC,MMXTmaxC,MMXTminC,MNTMavgC,MNTMmaxC,MNTMminC,qmean,qmin,qmax,qltefavg,FecCol,TempC,Domg,BOD5,tss,NH3,Phos,pH,phenmgl,Fe,Pb,Mn,Hg,Ni,Ag,Zn,As,Cd,Cr,Cu,phenugl
Mars2009,Marseilles,2009,22,61,80,35,11,8,120,6,58,56,3.1,5.49,0.53,22.86,17.09,117.5,9.79,2.01,93.98,-3.8,12.22,-28.89,23.7,34.44,3.33,4.48,16.06,-14,14.66,26.83,-4.78,9.58,21.44,-9.39,15046.68,2790,87000,6706.67,234.5,19.76,9.32,9.5,46.83,0.13,0.56,7.87,0.01,1.54,0.01,0.06,0.1,0.01,0,0.02,0.03,0.01,0,0.01,5
Mars2010,Marseilles,2010,23,55,67,21,7,9,126,19,62,72,2.13,4.6,1.09,25.4,23.44,86.06,7.17,2.72,82.55,-2.41,12.78,-22.78,24.17,34.44,5.56,5.34,19.78,-11.39,16.42,30.28,-3.67,10.89,25.06,-7.5,10236.9,1240,44700,4320,153.22,22.26,8.33,3.22,14.22,0.15,0.64,8.06,0,0.53,0.01,0.04,0.1,0.01,0,0.02,0.03,0.01,0,0.01,2.5
Star1983,Starved Rock,1983,18,19,65,25,9,13,124,46,49,27,3.2,7.87,0.15,20.32,14.94,97.41,8.12,0.43,45.97,-3.94,12.78,-28.33,25.09,40,3.33,5.19,20.39,-13.94,15.22,33.44,-6.39,10.22,26.94,-10.17,12046.36,3840,61300,10800,237.5,21,7.33,6.25,43,0.68,0.61,6.8,0.01,0.63,0.06,0.07,0.1,0.03,0,0,0,0,0.01,0.02,12.25
Star1985,Starved Rock,1985,14,26.5,77,25,12,24,92,8,48,49,3.46,7.87,0.36,33.02,23.42,102.18,9.29,0.64,40.13,-4.19,11.67,-32.22,24.49,34.44,3.89,4.99,17.78,-15.67,15.86,28.5,-5.94,10.44,23.17,-10.78,12487.97,3520,77000,6620,101.67,20.5,7.37,5.17,28.17,0.77,0.4,6.85,0.03,0.65,0.01,0.06,0.23,0.05,0,0.03,0,0,0.01,0.01,25.17
Star1989,Starved Rock,1989,18,18.5,65,17,4,23,154,17,63,46,2.21,8.18,0.51,17.78,22,74.17,6.18,1.85,27.43,-6.62,12.22,-29.44,26.9,36.67,11.67,2.94,17.72,-15.22,14.79,29.78,-4.5,8.88,23.78,-9.83,8360.99,2960,38300,10600,2546.67,21.26,8.23,5.67,102.83,0.18,0.32,7.54,0.02,2.5,0.02,0.07,0.2,0.06,0.01,0.07,0.05,0.01,0.01,0.01,23.83
Star1990,Starved Rock,1990,12,19,87,30,14,6,141,13,26,23,3.54,7.54,0.51,12.7,20.17,130.3,10.86,0.79,32.26,-3.1,12.78,-21.11,26.85,36.11,13.89,5.2,17.06,-7.39,16.06,28,2.33,10.65,22.56,-2.5,14181.29,3640,80900,8120,1599,19.17,8.67,5.2,64,0.23,0.31,7.95,0.02,0.75,0.01,0.08,0.2,0.06,0.01,0.07,0.06,0.01,0.01,0.03,18.4
Star1991,Starved Rock,1991,14,20,68,28,12,8,135,33,48,42,2.75,5.77,0.38,30.48,18.67,102.69,8.56,0.38,82.3,-4.03,11.67,-21.67,26.71,37.22,6.11,4.96,17.5,-11.67,16.5,30.39,-2.28,10.74,23.94,-6.94,12411.59,2630,52200,3350,126.11,22.51,7.75,3.44,15.33,0.11,0.63,7.69,0.02,0.23,0.01,0.03,0.16,0.02,0,0.02,0.01,0.01,0.01,0.01,20
Star1992,Starved Rock,1992,21,14,68,21,8,6,139,3,28,28,2.5,5.33,0.2,12.7,24.77,93.29,7.77,0.58,51.56,-5.14,11.11,-23.89,23.66,33.89,9.44,3.74,15.61,-6.94,15.12,27.22,1.33,9.44,20.94,-2.78,9687.95,4100,37000,9600,30,18.73,8.1,2.33,25.83,0.1,0.42,7.39,0,0.5,0,0.04,0,0,0,0.03,0,0,0,0.01,2
Star1993,Starved Rock,1993,21,14,86,30,8,9,148,10,58,47,2.81,4.95,1.02,17.78,18.01,108.66,9.06,3.02,67.06,-4.72,13.89,-21.67,23.52,33.89,7.22,3.96,18.56,-8.94,14.41,28.33,-0.61,9.2,23.39,-4.61,18430.3,6290,61400,9390,66.67,17.8,7.32,1.5,31.67,0.06,0.34,7.86,0.01,0.45,0.01,0.04,0.25,0.05,0,0.07,0.01,0.01,0.01,0.01,6.5
Star1994,Starved Rock,1994,18,20.5,60,24,5,21,136,20,47,46,2.73,5.99,0.81,30.48,14,80.06,6.67,2.36,67.31,-4.95,10,-30,25.79,35.56,5,3.77,16.28,-14.28,15.68,29.44,-5.22,9.74,22.33,-9.72,9447.01,2440,37300,4880,60,17.87,6.15,0.6,30.17,0.14,0.57,7.88,0,0.45,0,0.05,0.05,0,0,0.1,0,0,0,0.02,3.83
Star1996,Starved Rock,1996,12,19.5,63,19,7,16,151,17,55,19,2.52,7.49,0.61,10.16,16.89,83.67,6.97,1.12,41.4,-6.99,11.67,-28.89,25.28,35.56,10,2.63,15.78,-11.06,14.31,28.39,-0.78,8.49,22.11,-5.89,10477.21,3120,71900,5320,53.75,21.4,6.35,0.76,29.75,0.04,0.39,7.64,0,0.44,0,0.05,0.03,0,0,0.04,0,0,0,0.01,2.5
Star1997,Starved Rock,1997,14,45.5,53,16,6,12,154,16,49,54,3.17,10.54,0.81,30.48,16.59,71.45,6.5,2.39,138.94,-5.96,10,-25.56,24.65,35.56,8.89,2.17,16.17,-14.06,13.87,29.5,-3.11,8.04,22.83,-8.56,11090.41,2940,89600,5730,87.5,26.25,7.15,0,22.5,0,0.52,8.1,0,0.33,0,0.04,0.05,0.01,0,0.06,0,0,0,0.01,1
Star1999,Starved Rock,1999,17,58,59,22,7,14,135,27,36,50,2.87,7.21,0.71,48.26,12.22,82.78,6.9,1.19,96.27,-4.54,10,-30.56,26.81,37.78,8.89,4.01,19.17,-12,16.83,31.61,-2.56,10.43,25.39,-7.28,9009.7,1460,46000,2870,35,22.38,8.57,1.5,18.5,0.02,0.79,8.63,0,0.26,0,0.03,0.02,0,0,0.02,0,0,0,0.01,3.5
Star2000,Starved Rock,2000,17,61,75,27,9,20,133,5,57,53,2.54,4.78,0.86,45.72,17.4,95.78,7.98,3.58,114.81,-4.86,10.56,-26.11,25.88,36.67,3.89,3.75,15.94,-15.06,15.75,28.44,-5.61,9.75,22.17,-10.33,7296.5,1910,43800,5710,38.33,21.95,8.96,2.33,28.83,0.11,0.64,7.92,0.01,0.45,0.01,0.05,0.06,0.01,0,0.02,0.03,0,0.01,0.02,8.5
Star2001,Starved Rock,2001,26,35,82,25,9,5,134,18,40,43,2.98,5.23,1.02,43.18,15.49,100.28,8.36,3.45,28.96,-3.94,9.44,-20.56,25,34.44,4.44,4.43,17.06,-10.06,16.19,29.17,-1.39,10.31,23.11,-5.72,10598.74,2730,61000,11150,11.67,23,9.81,3.33,25,0.06,0.55,7.98,0,0.54,0.01,0.05,0.03,0,0,0.03,0.01,0,0,0.01,3.17
Star2002,Starved Rock,2002,19,63.5,58,12,6,2,156,34,31,29,2.52,9.8,0.3,25.4,14.66,74.5,6.21,1.55,79.5,-4.35,11.67,-22.22,26.39,36.67,12.22,4.19,18,-8.28,16.02,31.33,3.61,10.11,24.67,-2.33,9250.63,461,76700,3570,10.83,21.42,8.92,4.67,43.83,0.05,0.72,7.92,0.01,1.76,0.01,0.06,0.04,0.01,0,0.03,0.01,0,0.01,0.02,8
Star2003,Starved Rock,2003,14,67.5,59,21,10,8,137,19,46,29,2.41,4.75,0.3,12.7,16.81,81.76,6.81,0.76,50.55,-4.68,11.67,-20.56,26.06,36.67,10,3.24,16.28,-11.83,15.8,30.5,-2.28,9.53,23.39,-7.06,8394.22,1740,36800,4990,55,20.3,9.16,4.83,49.17,0.12,0.74,7.87,0.01,8.19,0.05,0.41,0.06,0.02,0,0.17,0,0,0.03,0.06,5
Star2004,Starved Rock,2004,18,45.5,76,26,6,11,137,1,45,43,2.46,4.9,0.58,12.7,18.8,91.62,7.63,1.57,53.34,-5.74,10.56,-23.89,24.72,33.33,12.78,4.06,15.94,-10.61,15.75,27.67,-2.44,9.92,21.83,-6.5,10476.64,2080,50600,5420,27.5,21.47,10,4.5,26.83,0.15,0.64,8.29,0,0.59,0.01,0.04,0.05,0,0,0.03,0,0,0,0.01,4.67
Star2005,Starved Rock,2005,27,63,60,13,2,8,137,47,46,39,1.77,4.9,0.58,15.24,10.29,56.13,4.68,1.55,53.85,-3.89,12.22,-21.67,26.85,39.44,8.89,4.51,17.22,-9.5,16.76,31.06,-2.56,10.65,24.11,-6,7686.77,1140,78300,2100,20.83,22.29,9.47,3.17,18.67,0.07,0.72,8.08,0.01,0.35,0.01,0.04,0.02,0,0,0.02,0,0,0,0.01,5.17
Star2006,Starved Rock,2006,20,33,69,25,9,3,126,20,20,19,3.1,6.1,0.99,43.18,19.58,98.76,8.23,2.95,64.77,-2.87,12.78,-22.22,26.3,38.33,12.22,5,18.61,-8.56,16.46,30.33,2.94,10.75,24.5,-2.78,10549.51,3300,42700,11100,87.5,21.3,8.95,2.26,35.67,0.09,0.54,8.03,0,1.06,0.01,0.05,0.02,0,0,0.02,0.01,0,0,0,2.5
Star2007,Starved Rock,2007,29,45.5,79,22,8,11,140,21,60,56,3.55,10.72,0.84,22.86,29.62,109.73,9.14,2.01,68.58,-3.94,11.11,-23.33,25.42,34.44,10,4.42,18.56,-13.67,16.31,29.28,-4.56,10.38,23.94,-9.11,12078.63,2430,77700,12300,175,24.02,8.65,2,25.17,0.06,0.53,8.18,0,0.69,0,0.04,0.09,0,0,0.02,0,0,0,0,1
Star2008,Starved Rock,2008,26,51,84,31,12,22,136,2,58,67,3.21,8.94,0.86,17.78,26.67,127.51,10.63,2.67,115.06,-5,10.56,-25,24.91,32.78,7.78,2.99,16.44,-11.89,14.74,29.06,-2.17,8.87,22.78,-6.67,14530.6,1620,102000,10600,86.67,20.7,8.9,3,28.67,0.07,0.41,7.63,0,0.83,0.01,0.05,0.12,0,0,0.01,0.02,0,0,0,1.17
Star2009,Starved Rock,2009,25,60.5,93,33,14,10,138,9,58,60,3.94,7.67,0.41,20.32,18.24,136.19,11.35,1.91,107.7,-4.58,11.67,-30.56,23.8,35.56,3.33,3.49,15.17,-14.72,14.44,27.39,-5.78,8.98,21.28,-10.22,15046.68,2790,87000,8400,182.5,19.77,9.8,9.5,46.25,0.12,0.55,7.63,0.01,1.42,0.01,0.06,0.1,0.01,0,0.02,0.03,0.01,0,0.01,5
Star2010,Starved Rock,2010,20,55,73,20,7,16,138,32,71,80,2.38,4.27,1.09,27.94,21.01,91.08,7.59,2.16,101.09,-3.38,12.78,-23.89,24.31,35,3.33,4.21,18.56,-12.22,16.07,30.56,-4.39,10.15,24.56,-8.22,10236.9,1240,44700,3810,48.33,22.5,8.97,2.5,19.67,0.09,0.65,8.13,0,0.71,0.01,0.04,0.1,0.01,0,0.01,0.03,0.01,0,0.01,2.5
Peor1983,Peoria,1983,29,12,70.5,24.5,8.5,12,118.5,50.5,45.5,36,3.23,7.73,0.43,20.32,16.43,102.02,8.5,0.89,67.94,-3.87,13.89,-28.06,25.56,39.44,4.17,5.59,20.58,-13.5,15.72,33.42,-6.03,10.67,27.03,-9.75,12046.36,3840,61300,5263.33,220.94,19.22,7.61,4.06,54.59,0.28,0.46,7.01,0.01,0.77,0.01,0.09,0.22,0.05,0,0.08,0,0,0.01,0.01,13.94
Peor1984,Peoria,1984,32,13.58,74,28.5,10,11,127,15.5,40.5,41.5,3.02,6.17,1.12,22.86,16.07,101.3,8.44,1.96,40.26,-5.23,11.11,-28.06,25.05,35.56,6.39,4.92,17.11,-11.81,15.38,29.83,-3.25,10.17,23.36,-7.53,10554.1,3470,59300,6445,197.38,21.57,7.67,3.38,48.02,0.2,0.41,7.16,0.02,0.76,0.01,0.09,0.12,0.1,0,0.04,0.01,0,0,0.02,21.2
Peor1985,Peoria,1985,30,14.88,82,28.5,10,22.5,104.5,9,53.5,50.5,3.18,6.73,0.44,26.67,21.39,106.72,9.28,1.57,49.53,-4.71,12.78,-31.11,24.42,34.44,3.89,4.74,17.56,-14.56,15.55,28.75,-4.69,10.16,23.17,-9.61,12487.97,3520,77000,6393.75,121.43,20.29,7.8,3.14,40.74,0.31,0.31,6.78,0.02,0.8,0.01,0.09,0.04,0.02,0,0.05,0.01,0,0.01,0.01,24.5
Peor1989,Peoria,1989,26,11.5,60.5,15,3,20.5,142.5,16.5,59,50,1.89,5.63,0.69,19.05,16.57,65.7,5.47,2.03,48.64,-6.32,12.78,-30,26.57,36.39,10.28,3.47,18.03,-14.53,15.02,29.78,-4.11,9.26,23.92,-9.31,8360.99,2960,38300,6310,433.1,21.4,7.68,6.12,53.57,0.14,0.29,7.66,0.02,0.78,0.01,0.08,0.22,0.06,0.01,0.07,0.05,0.01,0.01,0.01,24.5
Peor1990,Peoria,1990,23,12.5,86,34.5,15,4,134.5,13,21.5,19,3.82,9.18,0.69,11.43,21.74,135.45,11.29,1.7,34.92,-2.78,12.78,-20,26.71,35.28,14.44,5.52,17.36,-7.22,16.31,27.75,2.31,10.94,22.56,-2.44,14181.29,3640,80900,7977.5,2082.64,19.37,7.85,4.49,73.17,0.17,0.3,8.1,0.02,0.66,0.01,0.11,0.2,0.06,0.01,0.07,0.06,0.01,0.01,0.01,16.5
Peor1991,Peoria,1991,27,12.75,71.5,26,9.5,5.5,129,33,44.5,43,2.56,6.29,0.34,24.13,18.62,97.23,8.1,0.64,74.68,-3.59,12.22,-20.56,26.64,36.94,6.39,5.47,17.72,-10.92,16.73,30.33,-1.92,11.12,24.03,-6.39,12411.59,2630,52200,4356.25,82.64,21.6,8.17,4.37,48.97,0.15,0.53,7.99,0.02,0.54,0.01,0.07,0.16,0.02,0,0.06,0.01,0.01,0.01,0.01,20.6
Peor1992,Peoria,1992,30,10.56,68,19.5,8,5,126.5,5,23.5,24.5,2.27,4.99,0.23,11.43,22.78,88.01,7.33,0.61,48.26,-4.35,11.94,-23.06,24.33,34.17,9.72,4.57,16.53,-6.19,15.6,27.53,2,10.1,21.69,-2.08,9687.95,4100,37000,9167.78,23.96,18.7,8.72,2.57,50.65,0.04,0.4,7.65,0,0.75,0,0.07,0,0.01,0,0.04,0,0,0,0,1.81
Peor1994,Peoria,1994,28,10.88,58.5,21,4.5,17,126,24.5,43,40,2.46,5.14,0.77,25.4,11.9,72.03,6,2.02,62.36,-4.31,10.83,-29.72,26.11,36.11,5.83,4.53,16.89,-12.97,16.26,29.78,-4.47,10.41,23,-8.69,9447.01,2440,37300,5923.75,15.45,18.3,6.64,2.67,45.14,0.1,0.49,8.19,0.01,0.62,0,0.08,0.04,0,0,0.09,0,0,0,0.01,5.36
Peor1996,Peoria,1996,34,12.38,61.5,20.5,6,13,145,16,50.5,18.5,2.46,6.24,0.94,8.89,18.1,79.27,6.61,1.6,32.64,-6.3,11.94,-28.61,25.3,35.56,11.39,3.41,16.67,-10.78,14.6,28.39,-0.72,9.02,22.56,-5.72,10477.21,3120,71900,5976.25,47.14,21.08,7.82,2.14,55.04,0.07,0.37,8.09,0,0.74,0,0.08,0.02,0,0,0.05,0,0,0,0.01,3.04
Peor1997,Peoria,1997,30,27.13,59,19,6.5,11.5,142,18,45.5,48.5,2.66,7.57,0.83,25.4,16.04,76.16,6.62,2.32,88.39,-4.58,10,-24.44,25.12,36.39,10.28,3.64,17.17,-13.08,14.57,29.78,-2.58,9.12,23.47,-7.81,11090.41,2940,89600,7157.5,205,26.97,6.58,0.86,38.79,0.07,0.4,8.05,0.01,0.58,0,0.08,0.05,0,0,0.05,0.04,0,0,0.01,5.36
Peor1999,Peoria,1999,38,27.38,60.5,20.5,8,10,126,25,30.5,45.5,2.67,5.64,0.52,44.45,12.36,79.83,6.65,0.88,87.12,-3.59,10.83,-29.72,26.44,36.67,10,5.02,19.58,-10.56,16.93,31.39,-1.81,10.99,25.5,-6.17,9009.7,1460,46000,2937.5,198.04,21.94,8.3,2.93,46.11,0.02,0.78,8.67,0,0.66,0,0.07,0.04,0,0,0.05,0,0,0,0.01,3.93
Peor2000,Peoria,2000,32,36.88,69.5,20.5,5,16,127.5,9,52.5,48,2.11,4.17,0.83,39.37,13.83,81.18,6.76,2.81,96.27,-4.19,11.94,-25.28,26.06,36.39,5,4.68,17.31,-14.17,16.02,29.25,-5,10.36,23.28,-9.58,7296.5,1910,43800,4650,90.17,21.41,9.32,4.1,56.74,0.11,0.47,8.38,0.01,0.78,0.02,0.08,0.15,0.01,0,0.02,0.03,0,0,0.01,6.55
Peor2001,Peoria,2001,36,35.75,79,26.5,7.5,3.5,125,21,36,37.5,2.95,5.6,0.95,36.83,14.52,98.03,8.17,3.11,26.42,-3.13,10.83,-20,25,35,5,5.33,18.14,-9.14,16.51,29.83,-0.92,10.93,24,-5.03,10598.74,2730,61000,6688.75,57.02,22.8,9.67,4.1,54.43,0.08,0.5,8.21,0,1.39,0.01,0.1,0.02,0,0,0.04,0.01,0,0.01,0.02,4.57
Peor2002,Peoria,2002,36,31,56.5,16,8.5,2,141,35.5,26,22,2.72,7.87,0.58,17.78,15.96,79.55,6.63,1.64,58.29,-3.4,13.06,-21.11,26.71,36.67,14.17,5.2,19.31,-6.36,16.49,31.53,4.06,10.86,25.42,-1.14,9250.63,461,76700,5643.75,51.9,20.03,8.74,3.4,56.61,0.08,0.6,8.11,0.01,1.43,0.01,0.08,0.03,0.01,0,0.03,0.01,0,0.01,0.02,6.71
Peor2003,Peoria,2003,34,26.75,60,21,10,6.5,130,18,45.5,28.5,2.37,4.91,0.33,13.97,15.68,80.26,6.69,0.98,54.74,-4.28,12.5,-21.11,25.83,36.67,9.72,4.19,17.44,-10.86,15.91,30.17,-1.72,10.06,23.81,-6.28,8394.22,1740,36800,6082.5,33.21,20.2,9.26,5.02,60,0.2,0.54,8.16,0.01,8.86,0.04,0.4,0.05,0.02,0,0.15,0,0,0.02,0.06,5.21
Peor2004,Peoria,2004,37,30.38,69.5,25,6,8.5,124,2.5,42,35,2.57,4.93,0.55,11.43,16.31,89.56,7.46,1.45,56.9,-4.68,11.39,-23.61,25.12,33.33,13.89,5.02,16.92,-10.06,16.02,27.58,-1.53,10.53,22.28,-5.78,10476.64,2080,50600,7976.25,46.19,20.64,9.72,3.35,67.26,0.14,0.55,8.51,0.01,1.52,0.01,0.09,0.04,0.01,0,0.03,0,0,0,0.01,7.36
Peor2005,Peoria,2005,36,39.38,57.5,13.5,4,5,124.5,49,41.5,38,2.08,4.64,0.65,17.78,10.45,60.35,5.03,1.65,53.85,-3.03,12.78,-21.11,26.76,39.72,9.44,5.48,18.11,-8.69,17.1,31.47,-1.75,11.3,24.78,-5.19,7686.77,1140,78300,3881.25,11.79,22.3,11.18,4.13,41.52,0.17,0.62,8.59,0.01,0.89,0.01,0.07,0.04,0,0,0.02,0,0,0,0.01,8.57
Peor2006,Peoria,2006,44,31.75,67,24,6,2.5,115,24,17.5,17.5,2.59,5.12,0.86,31.75,16.37,89.93,7.49,2.18,52.45,-2.18,13.61,-21.11,26.69,37.5,13.06,5.91,19.36,-7.61,16.94,31,3.61,11.44,25.19,-1.97,10549.51,3300,42700,9821.25,115.83,21.25,9.04,2.64,51.88,0.08,0.5,8.26,0,1.56,0.01,0.07,0.03,0,0,0.02,0.01,0,0,0,2.5
Peor2007,Peoria,2007,40,26.5,74.5,25,8.5,9.5,132.5,27.5,50.5,47,3.13,7.16,1.18,22.86,22.16,101.88,8.49,2.95,67.31,-3.33,11.94,-22.5,25.63,35,9.44,5.44,19.47,-12.31,16.72,30.14,-3.64,11.09,24.83,-7.97,12078.63,2430,77700,6071.25,51.55,23.84,8.34,3.79,47.45,0.13,0.44,8.43,0,1.35,0,0.08,0.02,0,0,0.02,0,0,0,0,1.12
Peor2008,Peoria,2008,42,36.75,80.5,30,13,15,129,5,52.5,55.5,3.18,8.34,0.91,16.51,29.01,122.86,10.24,2.65,99.57,-3.96,11.94,-23.61,25.3,33.61,9.17,4.05,17.42,-10.61,15.16,29.14,-1.03,9.62,23.31,-5.47,14530.6,1620,102000,7968.75,77.38,20.34,8.2,3.86,52.02,0.13,0.38,7.75,0,1.49,0.01,0.08,0.12,0,0,0.02,0.02,0,0,0,1.31
Peor2009,Peoria,2009,45,28.25,90.5,37.5,15,7,126,7.5,53.5,52.5,3.58,6.81,0.52,17.78,19.22,137.33,11.44,1.87,101.73,-3.77,12.22,-30,24,35.28,5.56,4.51,16.17,-13.5,14.86,27.53,-4.28,9.7,21.86,-8.86,15046.68,2790,87000,6791.25,27.11,18.88,9.05,9.5,34.75,0.09,0.35,7.96,0.01,1.11,0.01,0.06,0.1,0.01,0,0.02,0.03,0.01,0,0.01,5
Peor2010,Peoria,2010,41,27.25,78,26.5,8.5,13.5,126,26.5,64,77.5,2.59,4.55,1.21,26.67,20.92,101.6,8.47,3.01,110.24,-2.8,13.61,-23.89,24.61,34.72,4.17,5.18,19.53,-11.31,16.3,30.5,-3.86,10.75,25.03,-7.53,10236.9,1240,44700,5102.5,320.24,21.67,8.32,4.64,42.9,0.1,0.52,8.3,0,1.67,0.01,0.08,0.1,0.01,0,0.02,0.03,0.01,0,0.01,2.95
