Sample,T_3,T_27,T_30,T_35,T_46,T_47,T_52,T_61,T_77,T_97,T_105,T_121,T_124,T_133,T_135,T_137,T_143,T_180,T_184,T_190,T_194,T_196,T_198,T_201,T_202,T_221,T_258,T_295,T_299,T_303,T_325,T_329,T_338,T_339,T_340,T_350,T_353,T_363,T_379,T_385,T_387,T_397,T_411,T_423,T_445,T_452,T_456,T_459,T_462,T_468,T_482,T_486,T_506,T_549,T_559,T_563,T_565,T_579,T_587,T_610,T_617,T_625,T_637,T_640,T_646,T_649,T_651,T_654,T_655
CM00,0,2,11,13,11,5,3,0,3,8,0,14,248,13,2,3,1,0,3,0,0,1,1,96,4,98,28,22,20,2,2,12,4,0,2,2,7,6,83,0,0,3,2,0,11,40,0,0,100,1,0,3,3,0,1,2,54,3,13,8,7,2,43,0,0,23,40,49,3
CM01,0,2,5,13,11,3,0,0,3,11,0,14,198,10,2,2,2,0,1,0,0,3,2,77,6,124,4,30,10,3,1,16,4,0,1,3,9,9,57,0,0,0,2,0,1,58,0,0,87,4,0,8,19,0,2,0,56,6,11,13,6,1,70,0,0,39,45,25,8
CM02,0,1,6,8,13,3,0,0,0,16,0,7,390,3,2,4,0,0,4,0,0,0,2,102,6,89,0,35,17,2,1,13,4,0,1,3,7,2,73,0,0,0,1,0,15,43,0,0,122,1,0,0,1,0,1,1,56,2,10,6,9,2,35,0,0,23,32,30,1
CM03,0,2,14,2,7,5,3,0,4,12,0,12,165,7,1,2,2,0,5,0,0,0,0,88,0,108,25,17,10,3,0,8,6,0,1,4,5,6,158,0,0,6,0,0,13,34,0,0,121,0,0,1,1,0,1,1,65,4,18,4,6,1,47,0,0,11,10,43,3
CM04,0,1,6,17,1,11,4,0,2,5,0,9,234,39,1,5,1,0,3,0,0,2,0,125,1,79,27,20,34,0,2,12,5,0,7,2,1,1,72,0,0,1,5,0,11,34,0,0,73,0,0,2,0,0,2,2,60,4,20,7,8,1,40,0,0,32,2,38,1
CM05,0,3,11,21,7,7,0,0,0,6,0,20,196,20,2,0,2,0,2,0,0,0,1,85,4,109,5,11,12,5,2,16,3,0,3,1,6,4,31,0,0,1,1,0,0,47,0,0,114,1,0,2,0,0,1,3,52,1,9,13,10,4,49,0,0,51,146,37,14
CM06,0,1,7,11,4,0,5,0,3,10,0,16,270,13,0,2,0,0,5,0,0,0,0,63,3,118,11,15,15,2,0,11,4,0,0,1,5,8,88,0,0,0,0,0,10,49,0,0,142,3,0,2,6,0,0,0,57,6,29,8,10,0,46,0,0,9,46,46,0
CM07,0,2,13,5,13,5,2,0,2,5,0,16,278,11,0,4,3,0,0,0,0,3,1,97,2,77,47,27,13,2,0,10,7,0,2,3,4,0,66,0,0,1,2,0,7,43,0,0,97,2,0,5,5,0,1,4,52,4,13,9,2,2,42,0,0,38,27,49,0
CM08,0,2,3,9,18,4,3,0,3,9,0,8,257,4,2,5,0,0,3,0,0,2,1,101,5,153,17,17,17,1,0,6,3,0,3,1,6,5,72,0,0,3,0,0,5,33,0,0,92,0,0,3,4,0,1,4,53,5,13,6,6,3,36,0,0,18,4,52,7
CM09,0,4,1,4,10,15,0,0,3,5,0,11,307,17,1,3,0,0,5,0,0,1,2,78,11,70,67,10,17,2,1,13,3,0,1,1,9,7,97,0,0,1,2,0,1,43,0,0,82,1,0,2,0,0,1,2,56,1,8,7,3,4,42,0,0,19,20,46,1
CM10,0,1,28,11,14,15,5,0,3,4,0,10,216,14,5,1,1,0,2,0,0,0,1,90,3,67,54,32,24,2,0,17,5,0,4,2,18,9,87,0,0,6,2,0,25,45,0,0,102,3,0,1,1,0,0,0,55,4,10,4,13,4,31,0,0,13,1,36,11
GM00,0,9,0,0,0,2,0,0,2,3,0,0,72,55,0,1,1,1,1,3,0,6,29,122,2,169,7,0,5,5,0,0,0,1,0,0,0,2,0,2,38,9,0,0,8,0,6,0,291,0,4,1,0,2,1,114,65,6,2,13,0,0,23,1,2,0,26,0,7
GM01,0,15,0,0,0,5,0,0,5,2,0,0,41,65,0,2,1,0,0,3,0,4,35,125,3,227,1,0,2,4,0,0,0,6,0,0,0,0,0,1,31,5,0,0,7,0,6,0,156,0,6,0,0,2,3,92,74,10,2,15,0,0,17,4,4,0,22,0,11
GM02,0,5,0,0,0,1,0,0,3,2,0,0,73,51,0,0,1,1,1,2,0,6,28,108,2,103,10,0,4,6,0,0,0,1,0,0,0,0,0,5,33,4,0,0,13,0,8,0,286,0,2,2,0,1,1,90,58,4,3,3,0,0,22,1,1,0,20,0,6
GM03,0,3,0,0,0,5,0,0,0,1,0,0,61,58,0,0,0,3,0,4,0,3,12,118,3,161,10,0,7,11,0,0,0,0,0,0,0,0,0,1,40,9,0,0,14,0,5,0,205,0,3,2,0,3,1,140,57,0,2,19,0,0,13,0,2,0,26,0,9
GM04,0,6,0,0,0,4,0,0,2,1,0,0,53,57,0,1,0,2,2,4,0,7,27,97,0,184,5,0,4,6,0,0,0,2,0,0,0,0,0,4,42,4,0,0,6,0,4,0,200,0,0,2,0,2,0,138,73,3,1,13,0,0,33,5,4,0,22,0,6
GM05,0,17,0,0,0,1,0,0,0,2,0,0,52,59,0,5,2,0,0,6,0,4,34,124,2,143,0,0,4,9,0,0,0,1,0,0,0,0,0,4,37,13,0,0,17,0,4,0,270,0,3,1,0,1,0,47,61,7,2,15,0,0,20,4,1,0,39,0,7
GM06,0,12,0,0,0,2,0,0,0,2,0,0,52,46,0,0,1,3,3,4,0,5,30,111,2,242,5,0,3,4,0,0,0,7,0,0,0,0,0,2,33,8,0,0,5,0,4,0,285,0,16,2,0,1,0,129,55,4,4,5,0,0,24,2,2,0,27,0,5
GM07,0,19,0,0,0,2,0,0,4,8,0,0,121,59,0,0,0,0,3,4,0,2,28,105,0,123,6,0,1,5,0,0,0,2,0,0,0,0,0,2,28,10,0,0,6,0,8,0,361,0,15,1,0,2,0,134,75,2,2,9,0,0,26,0,2,0,33,0,6
GM08,0,9,0,0,0,2,0,0,5,5,0,0,80,58,0,1,3,2,5,6,0,5,34,135,2,175,12,0,5,1,0,0,0,0,0,0,0,0,0,1,31,6,0,0,8,0,4,0,276,0,1,0,0,2,3,134,57,7,1,5,0,0,17,0,1,0,16,0,7
GM09,0,6,0,0,0,3,0,0,6,0,0,0,93,54,0,2,3,0,1,2,0,8,32,140,2,150,2,0,4,4,0,0,0,2,0,0,0,0,0,2,30,4,0,0,14,0,4,0,248,0,6,0,0,0,2,190,56,1,0,11,0,0,23,2,1,0,30,0,6
GM10,0,3,0,0,0,3,0,0,0,2,0,0,35,64,0,0,0,0,0,4,0,7,25,118,1,153,8,0,9,0,0,0,0,2,0,0,0,0,0,4,40,14,0,0,1,0,6,0,279,0,3,1,0,3,0,148,58,10,0,9,0,0,29,0,2,0,23,0,10
MK00,0,17,0,2,2,0,0,1,2,23,2,1,39,7,0,0,0,0,5,1,1,11,11,462,9,64,2,0,6,5,0,0,0,1,0,10,2,16,0,0,13,19,0,3,7,0,1,1,84,0,18,0,0,9,0,20,77,0,7,16,10,0,23,13,0,4,124,0,9
MK01,0,17,0,1,1,0,0,1,4,30,2,1,34,8,0,0,0,0,12,2,0,7,9,476,5,74,3,0,4,7,0,0,0,2,0,20,1,13,0,0,12,21,0,1,3,0,2,1,123,0,18,0,0,6,0,17,84,0,9,21,7,0,19,11,0,9,128,0,10
MK02,0,29,0,4,4,0,0,0,2,13,8,1,28,21,0,0,0,0,1,3,2,17,14,449,3,96,2,0,6,4,0,0,0,1,0,1,3,17,0,0,19,11,0,0,2,0,1,3,76,0,17,0,0,16,0,30,94,0,3,14,11,0,21,14,0,4,151,0,7
MK03,0,19,0,3,1,0,0,0,0,16,1,3,36,12,0,0,0,0,4,1,0,4,7,520,9,88,1,0,8,4,0,0,0,3,0,4,5,18,0,0,22,13,0,3,12,0,0,0,69,0,14,0,0,12,0,24,67,0,6,12,17,0,27,5,0,5,150,0,8
MK04,0,14,0,0,2,0,0,2,0,28,2,0,40,6,0,0,0,0,6,1,0,22,1,501,18,59,2,0,6,9,0,0,0,0,0,13,0,17,0,0,10,5,0,1,7,0,0,1,89,0,11,0,0,10,0,13,79,0,7,16,5,0,24,7,0,1,135,0,10
MK05,0,24,0,1,4,0,0,0,0,30,11,0,37,25,0,0,0,0,13,1,2,10,8,494,11,114,0,0,5,7,0,0,0,0,0,12,1,25,0,0,8,10,0,4,12,0,0,2,57,0,25,0,0,10,0,17,66,0,10,19,12,0,15,15,0,2,114,0,11
MK06,0,20,0,3,0,0,0,1,0,15,4,0,40,2,0,0,0,0,1,0,2,2,8,491,15,34,1,0,1,4,0,0,0,1,0,15,2,12,0,0,12,14,0,4,5,0,0,1,128,0,17,0,0,7,0,28,113,0,7,19,7,0,35,10,0,5,140,0,11
MK07,0,16,0,2,1,0,0,1,0,17,5,0,34,10,0,0,0,0,3,2,1,7,18,574,13,41,4,0,7,8,0,0,0,4,0,1,1,14,0,0,13,7,0,0,2,0,1,1,111,0,12,0,0,9,0,11,66,0,5,23,10,0,31,13,0,3,103,0,11
MK08,0,17,0,1,1,0,0,0,0,21,2,2,41,8,0,0,0,0,9,0,1,9,10,564,6,62,10,0,3,6,0,0,0,1,0,5,1,11,0,0,9,27,0,1,14,0,2,4,74,0,22,0,0,12,0,21,78,0,9,17,7,0,19,7,0,3,99,0,5
MK09,0,22,0,0,2,0,0,2,7,14,10,2,45,0,0,0,0,0,7,1,1,27,6,491,11,72,0,0,5,11,0,0,0,2,0,16,2,19,0,0,11,20,0,3,7,0,0,1,69,0,19,0,0,6,0,14,101,0,8,14,4,0,19,19,0,6,139,0,6
MK10,0,20,0,5,3,0,0,0,3,15,1,1,50,2,0,0,0,0,4,0,1,8,32,480,6,65,5,0,0,1,0,0,0,0,0,9,0,17,0,0,11,23,0,5,10,0,2,0,116,0,17,0,0,10,0,19,60,0,6,16,5,0,25,6,0,4,147,0,10
PT00,2,1,0,0,0,0,1,0,0,31,1,3,449,2,0,1,0,1,16,0,0,0,3,25,0,25,22,9,3,5,0,1,12,0,0,1,0,0,29,0,0,0,0,1,5,14,0,0,451,11,0,4,0,0,1,0,16,1,335,0,25,7,47,1,0,21,1,26,108
PT01,3,1,0,0,0,0,1,0,0,25,2,2,428,6,0,1,0,1,19,0,0,0,3,16,0,24,17,2,4,6,0,2,9,0,0,1,0,0,18,0,0,0,0,1,5,9,0,0,558,10,0,4,0,0,1,0,17,1,285,0,21,12,70,2,0,23,1,30,104
PT02,1,4,0,0,0,0,1,0,0,27,1,5,346,2,0,0,0,0,10,0,0,0,3,23,0,26,21,9,2,3,0,2,9,0,0,2,0,0,35,0,0,0,0,0,0,9,0,0,430,11,0,2,0,0,1,0,19,0,378,0,23,9,68,1,0,14,0,17,115
PT03,0,3,0,0,0,0,3,0,0,36,3,2,590,0,0,2,0,0,18,0,0,0,4,29,0,28,16,10,3,6,0,1,11,0,0,4,0,0,11,0,0,0,0,0,5,11,0,0,297,15,0,5,0,0,1,0,6,0,320,0,21,10,41,2,0,23,0,19,119
PT04,2,2,0,0,0,0,2,0,0,38,1,2,284,2,0,1,0,0,18,0,0,0,2,19,0,27,40,4,2,8,0,2,12,0,0,0,0,0,37,0,0,0,0,0,5,15,0,0,474,14,0,7,0,0,1,0,20,4,401,0,16,8,32,3,0,14,2,15,130
PT05,0,0,0,0,0,0,1,0,0,31,1,5,265,4,0,4,0,3,20,0,0,0,2,18,0,24,30,12,2,4,0,2,11,0,0,2,0,0,63,0,0,0,0,3,1,11,0,0,641,6,0,4,0,0,1,0,15,0,323,0,12,5,49,2,0,20,0,26,99
PT06,2,1,0,0,0,0,3,0,0,26,1,3,355,1,0,0,0,1,11,0,0,0,6,17,0,26,13,10,1,3,0,1,10,0,0,0,0,0,66,0,0,0,0,2,13,10,0,0,433,16,0,2,0,0,0,0,8,3,349,0,31,4,40,1,0,19,1,27,111
PT07,1,0,0,0,0,0,0,0,0,34,2,6,276,2,0,1,0,2,14,0,0,0,4,25,0,35,18,9,3,3,0,2,11,0,0,0,0,0,31,0,0,0,0,2,2,15,0,0,650,17,0,3,0,0,1,0,15,1,268,0,23,6,34,0,0,13,2,24,102
PT08,0,1,0,0,0,0,2,0,0,28,1,2,334,3,0,0,0,0,12,0,0,0,3,20,0,23,23,8,3,4,0,1,9,0,0,3,0,0,24,0,0,0,0,1,2,13,0,0,611,9,0,2,0,0,1,0,17,3,265,0,18,5,42,0,0,30,1,12,115
PT09,3,1,0,0,0,0,2,0,0,25,0,2,328,3,0,0,0,0,15,0,0,0,1,28,0,29,21,9,1,6,0,1,11,0,0,1,0,0,6,0,0,0,0,0,1,14,0,0,598,12,0,7,0,0,1,0,17,0,284,0,10,10,43,2,0,22,1,28,127
PT10,3,2,0,0,0,0,1,0,0,41,0,3,306,1,0,2,0,2,15,0,0,0,2,25,0,35,12,7,5,7,0,1,16,0,0,0,0,0,15,0,0,0,0,0,7,8,0,0,453,15,0,4,0,0,3,0,24,0,329,0,40,7,59,0,0,18,0,19,106
TP00,1,1,0,7,4,0,0,0,0,12,0,0,15,6,0,2,0,0,0,0,4,8,17,248,0,123,0,0,82,7,11,0,0,7,0,2,0,2,1,1,2,12,0,5,0,0,2,0,241,0,9,0,0,0,0,1,60,1,219,4,6,0,94,0,3,0,1,15,2
TP01,1,1,0,6,1,0,0,0,0,10,0,0,15,2,0,8,0,0,0,0,6,10,28,193,0,100,0,0,127,11,10,0,0,1,0,2,0,0,1,0,0,17,0,4,0,0,4,0,286,0,10,0,0,0,0,0,70,3,106,1,5,0,149,0,3,0,0,32,0
TP02,0,0,0,6,7,0,0,0,0,7,0,0,10,8,0,3,0,0,0,0,7,4,21,236,0,102,0,0,117,9,10,0,0,6,0,1,0,1,0,2,3,17,0,6,0,0,0,0,371,0,9,0,0,0,0,0,51,1,94,5,9,0,107,0,2,0,1,27,5
TP03,0,3,0,5,7,0,0,0,0,19,0,0,15,3,0,0,0,0,0,0,7,2,18,337,0,110,0,0,99,8,7,0,0,1,0,3,0,0,2,1,1,16,0,4,0,0,0,0,198,0,6,0,0,0,0,2,51,1,131,3,4,0,121,0,1,0,1,5,3
TP04,2,2,0,9,3,0,0,0,0,20,0,0,13,10,0,0,0,0,0,0,6,7,11,198,0,134,0,0,62,4,4,0,0,9,0,1,0,4,0,1,3,25,0,5,0,0,3,0,213,0,7,0,0,0,0,2,59,0,137,4,7,0,116,0,7,0,1,18,1
TP05,0,1,0,3,3,0,0,0,0,11,0,0,7,2,0,6,0,0,0,0,1,8,9,180,0,146,0,0,50,8,13,0,0,4,0,1,0,3,3,0,2,3,0,6,0,0,0,0,288,0,11,0,0,0,0,2,65,1,207,4,6,0,89,0,3,0,0,7,3
TP06,2,1,0,6,4,0,0,0,0,19,0,0,15,5,0,3,0,0,0,0,2,8,9,195,0,126,0,0,81,7,11,0,0,3,0,1,0,1,0,1,0,13,0,8,0,0,0,0,252,0,6,0,0,0,0,2,48,1,262,13,6,0,72,0,4,0,1,6,4
TP07,1,0,0,8,6,0,0,0,0,6,0,0,19,3,0,1,0,0,0,0,5,8,26,338,0,123,0,0,77,3,9,0,0,8,0,3,0,2,0,0,1,9,0,5,0,0,3,0,131,0,10,0,0,0,0,3,56,1,361,0,6,0,95,0,3,0,2,13,2
TP08,5,2,0,7,1,0,0,0,0,12,0,0,14,1,0,0,0,0,0,0,1,7,22,208,0,125,0,0,74,4,11,0,0,7,0,2,0,3,2,0,6,4,0,5,0,0,2,0,192,0,8,0,0,0,0,0,59,2,239,8,6,0,121,0,7,0,1,20,4
TP09,2,0,0,7,7,0,0,0,0,13,0,0,31,5,0,1,0,0,0,0,9,12,18,246,0,119,0,0,90,10,14,0,0,9,0,3,0,1,1,1,3,8,0,2,0,0,3,0,167,0,8,0,0,0,0,2,62,0,298,4,2,0,102,0,2,0,2,28,5
TP10,0,0,0,5,3,0,0,0,0,11,0,0,12,6,0,2,0,0,0,0,6,5,17,272,0,135,0,0,93,11,15,0,0,4,0,3,0,3,2,1,3,38,0,5,0,0,0,0,313,0,11,0,0,0,0,3,37,2,159,1,4,0,87,0,1,0,0,20,1
