"","COMID","SPECIES"
"5",880468,"Actinonaias ligamentina"
"6",880486,"Actinonaias ligamentina"
"20",880678,"Actinonaias ligamentina"
"21",880800,"Actinonaias ligamentina"
"23",882710,"Actinonaias ligamentina"
"33",1839981,"Actinonaias ligamentina"
"245",2927525,"Actinonaias ligamentina"
"246",2927567,"Actinonaias ligamentina"
"247",2927571,"Actinonaias ligamentina"
"248",2927589,"Actinonaias ligamentina"
"268",3597824,"Actinonaias ligamentina"
"269",3598258,"Actinonaias ligamentina"
"270",3598278,"Actinonaias ligamentina"
"271",3598286,"Actinonaias ligamentina"
"272",3598294,"Actinonaias ligamentina"
"274",3598330,"Actinonaias ligamentina"
"275",3598362,"Actinonaias ligamentina"
"276",3601016,"Actinonaias ligamentina"
"277",3601070,"Actinonaias ligamentina"
"278",3607116,"Actinonaias ligamentina"
"410",5089890,"Actinonaias ligamentina"
"520",6965737,"Actinonaias ligamentina"
"521",6965859,"Actinonaias ligamentina"
"522",6966427,"Actinonaias ligamentina"
"820",10079792,"Actinonaias ligamentina"
"821",10079818,"Actinonaias ligamentina"
"822",10079840,"Actinonaias ligamentina"
"824",10080024,"Actinonaias ligamentina"
"825",10080156,"Actinonaias ligamentina"
"826",10080184,"Actinonaias ligamentina"
"827",10080192,"Actinonaias ligamentina"
"828",10080198,"Actinonaias ligamentina"
"830",10080384,"Actinonaias ligamentina"
"831",10080454,"Actinonaias ligamentina"
"832",10080598,"Actinonaias ligamentina"
"833",10080618,"Actinonaias ligamentina"
"834",10080632,"Actinonaias ligamentina"
"835",10080634,"Actinonaias ligamentina"
"836",10080648,"Actinonaias ligamentina"
"837",10080662,"Actinonaias ligamentina"
"838",10080664,"Actinonaias ligamentina"
"839",10080678,"Actinonaias ligamentina"
"840",10080710,"Actinonaias ligamentina"
"841",10080722,"Actinonaias ligamentina"
"842",10080726,"Actinonaias ligamentina"
"843",10080744,"Actinonaias ligamentina"
"845",10080818,"Actinonaias ligamentina"
"846",10080830,"Actinonaias ligamentina"
"847",10080922,"Actinonaias ligamentina"
"848",10080944,"Actinonaias ligamentina"
"849",10080952,"Actinonaias ligamentina"
"850",10080964,"Actinonaias ligamentina"
"851",10081016,"Actinonaias ligamentina"
"852",10081018,"Actinonaias ligamentina"
"853",10081726,"Actinonaias ligamentina"
"854",10082092,"Actinonaias ligamentina"
"869",10208693,"Actinonaias ligamentina"
"874",10282728,"Actinonaias ligamentina"
"876",10286242,"Actinonaias ligamentina"
"877",10286244,"Actinonaias ligamentina"
"879",10286360,"Actinonaias ligamentina"
"881",10286936,"Actinonaias ligamentina"
"884",10335712,"Actinonaias ligamentina"
"885",10335918,"Actinonaias ligamentina"
"886",10335974,"Actinonaias ligamentina"
"887",10336152,"Actinonaias ligamentina"
"888",10336172,"Actinonaias ligamentina"
"889",10336180,"Actinonaias ligamentina"
"890",10336458,"Actinonaias ligamentina"
"891",10336474,"Actinonaias ligamentina"
"893",10337890,"Actinonaias ligamentina"
"894",10337946,"Actinonaias ligamentina"
"895",10338020,"Actinonaias ligamentina"
"896",10338074,"Actinonaias ligamentina"
"898",10338652,"Actinonaias ligamentina"
"899",10338836,"Actinonaias ligamentina"
"902",10339414,"Actinonaias ligamentina"
"903",10339944,"Actinonaias ligamentina"
"904",10340072,"Actinonaias ligamentina"
"907",10380157,"Actinonaias ligamentina"
"908",10380183,"Actinonaias ligamentina"
"912",10382099,"Actinonaias ligamentina"
"913",10382103,"Actinonaias ligamentina"
"919",10433858,"Actinonaias ligamentina"
"920",10433900,"Actinonaias ligamentina"
"921",10434166,"Actinonaias ligamentina"
"922",10434608,"Actinonaias ligamentina"
"924",10603682,"Actinonaias ligamentina"
"925",10603690,"Actinonaias ligamentina"
"926",10603694,"Actinonaias ligamentina"
"927",10603710,"Actinonaias ligamentina"
"928",10603742,"Actinonaias ligamentina"
"929",10603756,"Actinonaias ligamentina"
"930",10603766,"Actinonaias ligamentina"
"932",10603780,"Actinonaias ligamentina"
"933",10603788,"Actinonaias ligamentina"
"934",10603800,"Actinonaias ligamentina"
"935",10603804,"Actinonaias ligamentina"
"936",10603822,"Actinonaias ligamentina"
"937",10603840,"Actinonaias ligamentina"
"938",10603844,"Actinonaias ligamentina"
"939",10603854,"Actinonaias ligamentina"
"940",10603868,"Actinonaias ligamentina"
"941",10603886,"Actinonaias ligamentina"
"942",10603888,"Actinonaias ligamentina"
"943",10603896,"Actinonaias ligamentina"
"944",10605108,"Actinonaias ligamentina"
"945",10605152,"Actinonaias ligamentina"
"946",10605156,"Actinonaias ligamentina"
"947",10605656,"Actinonaias ligamentina"
"948",10607474,"Actinonaias ligamentina"
"949",10607478,"Actinonaias ligamentina"
"950",10607492,"Actinonaias ligamentina"
"951",10607502,"Actinonaias ligamentina"
"952",10607514,"Actinonaias ligamentina"
"953",10607548,"Actinonaias ligamentina"
"954",10607562,"Actinonaias ligamentina"
"955",10607604,"Actinonaias ligamentina"
"956",10607612,"Actinonaias ligamentina"
"957",10607676,"Actinonaias ligamentina"
"958",10607692,"Actinonaias ligamentina"
"959",10607748,"Actinonaias ligamentina"
"960",10607798,"Actinonaias ligamentina"
"961",10607866,"Actinonaias ligamentina"
"962",10608768,"Actinonaias ligamentina"
"963",10608850,"Actinonaias ligamentina"
"965",10609532,"Actinonaias ligamentina"
"966",10609534,"Actinonaias ligamentina"
"967",10609568,"Actinonaias ligamentina"
"969",10967841,"Actinonaias ligamentina"
"970",10969535,"Actinonaias ligamentina"
"1210",13298638,"Actinonaias ligamentina"
"1211",13298658,"Actinonaias ligamentina"
"1251",13360518,"Actinonaias ligamentina"
"1252",13361516,"Actinonaias ligamentina"
"1254",13361752,"Actinonaias ligamentina"
"1255",13361790,"Actinonaias ligamentina"
"1269",13413106,"Actinonaias ligamentina"
"1270",13414140,"Actinonaias ligamentina"
"1271",13414210,"Actinonaias ligamentina"
"1272",13414486,"Actinonaias ligamentina"
"1273",13414496,"Actinonaias ligamentina"
"1274",13414510,"Actinonaias ligamentina"
"1276",13426615,"Actinonaias ligamentina"
"1284",13438147,"Actinonaias ligamentina"
"1285",13438191,"Actinonaias ligamentina"
"1286",13438209,"Actinonaias ligamentina"
"1287",13438213,"Actinonaias ligamentina"
"1288",13438215,"Actinonaias ligamentina"
"1289",13438247,"Actinonaias ligamentina"
"1290",13438249,"Actinonaias ligamentina"
"1291",13438255,"Actinonaias ligamentina"
"1292",13438271,"Actinonaias ligamentina"
"1293",13438273,"Actinonaias ligamentina"
"1294",13438279,"Actinonaias ligamentina"
"1295",13438287,"Actinonaias ligamentina"
"1296",13438293,"Actinonaias ligamentina"
"1297",13438305,"Actinonaias ligamentina"
"1298",13438361,"Actinonaias ligamentina"
"1299",13438377,"Actinonaias ligamentina"
"1300",13438853,"Actinonaias ligamentina"
"1302",13438949,"Actinonaias ligamentina"
"1303",13438955,"Actinonaias ligamentina"
"1304",13438969,"Actinonaias ligamentina"
"1305",13438987,"Actinonaias ligamentina"
"1306",13439029,"Actinonaias ligamentina"
"1307",13439203,"Actinonaias ligamentina"
"1308",13439205,"Actinonaias ligamentina"
"1309",13439211,"Actinonaias ligamentina"
"1310",13439223,"Actinonaias ligamentina"
"1311",13439227,"Actinonaias ligamentina"
"1312",13439237,"Actinonaias ligamentina"
"1313",13439241,"Actinonaias ligamentina"
"1314",13439281,"Actinonaias ligamentina"
"1315",13439311,"Actinonaias ligamentina"
"1318",13451876,"Actinonaias ligamentina"
"1319",13451890,"Actinonaias ligamentina"
"1320",13451894,"Actinonaias ligamentina"
"1321",13451902,"Actinonaias ligamentina"
"1322",13452916,"Actinonaias ligamentina"
"1325",13453530,"Actinonaias ligamentina"
"1326",13453590,"Actinonaias ligamentina"
"1327",13453626,"Actinonaias ligamentina"
"1328",13454124,"Actinonaias ligamentina"
"1330",13454428,"Actinonaias ligamentina"
"1331",13454484,"Actinonaias ligamentina"
"1333",13454492,"Actinonaias ligamentina"
"1334",13454626,"Actinonaias ligamentina"
"1335",13454636,"Actinonaias ligamentina"
"1336",13454644,"Actinonaias ligamentina"
"1338",13454698,"Actinonaias ligamentina"
"1339",13454724,"Actinonaias ligamentina"
"1341",13553915,"Actinonaias ligamentina"
"1343",13554083,"Actinonaias ligamentina"
"1344",13554847,"Actinonaias ligamentina"
"1345",13571525,"Actinonaias ligamentina"
"1346",13571599,"Actinonaias ligamentina"
"1347",13572849,"Actinonaias ligamentina"
"1348",13573793,"Actinonaias ligamentina"
"1349",13583028,"Actinonaias ligamentina"
"1350",13584138,"Actinonaias ligamentina"
"1351",13584368,"Actinonaias ligamentina"
"1352",13585250,"Actinonaias ligamentina"
"1353",13586392,"Actinonaias ligamentina"
"1354",13597851,"Actinonaias ligamentina"
"1355",13598659,"Actinonaias ligamentina"
"1356",13598699,"Actinonaias ligamentina"
"1357",13598709,"Actinonaias ligamentina"
"1358",13598753,"Actinonaias ligamentina"
"1359",13598783,"Actinonaias ligamentina"
"1360",13606234,"Actinonaias ligamentina"
"1361",13606262,"Actinonaias ligamentina"
"1362",13606270,"Actinonaias ligamentina"
"1363",13606886,"Actinonaias ligamentina"
"1364",13608646,"Actinonaias ligamentina"
"1366",13608824,"Actinonaias ligamentina"
"1367",13617235,"Actinonaias ligamentina"
"1368",13617269,"Actinonaias ligamentina"
"1370",13618003,"Actinonaias ligamentina"
"1371",13618419,"Actinonaias ligamentina"
"1372",13618661,"Actinonaias ligamentina"
"1373",13619343,"Actinonaias ligamentina"
"1379",13770022,"Actinonaias ligamentina"
"1380",13770400,"Actinonaias ligamentina"
"1381",13770810,"Actinonaias ligamentina"
"1382",13770932,"Actinonaias ligamentina"
"1383",13771074,"Actinonaias ligamentina"
"1385",13771222,"Actinonaias ligamentina"
"1386",13771264,"Actinonaias ligamentina"
"1387",13771266,"Actinonaias ligamentina"
"1388",13771922,"Actinonaias ligamentina"
"1389",13772034,"Actinonaias ligamentina"
"1390",13772076,"Actinonaias ligamentina"
"1391",13870762,"Actinonaias ligamentina"
"1392",13870846,"Actinonaias ligamentina"
"1402",14762931,"Actinonaias ligamentina"
"1403",14762939,"Actinonaias ligamentina"
"1404",14762961,"Actinonaias ligamentina"
"1405",14762967,"Actinonaias ligamentina"
"1406",14762971,"Actinonaias ligamentina"
"1407",14762989,"Actinonaias ligamentina"
"1408",14762995,"Actinonaias ligamentina"
"1409",14762997,"Actinonaias ligamentina"
"1410",14763015,"Actinonaias ligamentina"
"1411",14763035,"Actinonaias ligamentina"
"1412",14763037,"Actinonaias ligamentina"
"1413",14763055,"Actinonaias ligamentina"
"1414",14763085,"Actinonaias ligamentina"
"1415",14763097,"Actinonaias ligamentina"
"1416",14763111,"Actinonaias ligamentina"
"1417",14763157,"Actinonaias ligamentina"
"1418",14763905,"Actinonaias ligamentina"
"1419",14763925,"Actinonaias ligamentina"
"1420",14763935,"Actinonaias ligamentina"
"1421",14763953,"Actinonaias ligamentina"
"1431",14770666,"Actinonaias ligamentina"
"1432",14770724,"Actinonaias ligamentina"
"1433",14770726,"Actinonaias ligamentina"
"1434",14770768,"Actinonaias ligamentina"
"1435",14770842,"Actinonaias ligamentina"
"1438",14771284,"Actinonaias ligamentina"
"1440",14771692,"Actinonaias ligamentina"
"1441",14771760,"Actinonaias ligamentina"
"1442",14771766,"Actinonaias ligamentina"
"1443",14771784,"Actinonaias ligamentina"
"1444",14771792,"Actinonaias ligamentina"
"1445",14771800,"Actinonaias ligamentina"
"1446",14771816,"Actinonaias ligamentina"
"1447",14771830,"Actinonaias ligamentina"
"1448",14771840,"Actinonaias ligamentina"
"1449",14771846,"Actinonaias ligamentina"
"1451",14779232,"Actinonaias ligamentina"
"1452",14779442,"Actinonaias ligamentina"
"1453",14779626,"Actinonaias ligamentina"
"1454",14779988,"Actinonaias ligamentina"
"1455",14780020,"Actinonaias ligamentina"
"1456",14780100,"Actinonaias ligamentina"
"1457",14780114,"Actinonaias ligamentina"
"1460",14780192,"Actinonaias ligamentina"
"1461",14780200,"Actinonaias ligamentina"
"1462",14780204,"Actinonaias ligamentina"
"1463",14780208,"Actinonaias ligamentina"
"1464",14780210,"Actinonaias ligamentina"
"1465",14780222,"Actinonaias ligamentina"
"1466",14780274,"Actinonaias ligamentina"
"1467",14785933,"Actinonaias ligamentina"
"1469",14786273,"Actinonaias ligamentina"
"1474",14804351,"Actinonaias ligamentina"
"1475",14804375,"Actinonaias ligamentina"
"1476",14804387,"Actinonaias ligamentina"
"1478",14804437,"Actinonaias ligamentina"
"1479",14804473,"Actinonaias ligamentina"
"1480",14804493,"Actinonaias ligamentina"
"1481",14804497,"Actinonaias ligamentina"
"1482",14804507,"Actinonaias ligamentina"
"1483",14805893,"Actinonaias ligamentina"
"1488",14807223,"Actinonaias ligamentina"
"1489",14820535,"Actinonaias ligamentina"
"1490",14837681,"Actinonaias ligamentina"
"1491",14837739,"Actinonaias ligamentina"
"1492",14839285,"Actinonaias ligamentina"
"1668",19285615,"Actinonaias ligamentina"
"1669",19285703,"Actinonaias ligamentina"
"1671",19285715,"Actinonaias ligamentina"
"1672",19285775,"Actinonaias ligamentina"
"1673",19285819,"Actinonaias ligamentina"
"1674",19285863,"Actinonaias ligamentina"
"1675",19285869,"Actinonaias ligamentina"
"1676",19285901,"Actinonaias ligamentina"
"1677",19285907,"Actinonaias ligamentina"
"1678",19285909,"Actinonaias ligamentina"
"1679",19285911,"Actinonaias ligamentina"
"1680",19285923,"Actinonaias ligamentina"
"1681",19285941,"Actinonaias ligamentina"
"1682",19285979,"Actinonaias ligamentina"
"1683",19286001,"Actinonaias ligamentina"
"1684",19286003,"Actinonaias ligamentina"
"1686",19286031,"Actinonaias ligamentina"
"1687",19286107,"Actinonaias ligamentina"
"1688",19286241,"Actinonaias ligamentina"
"1689",19286255,"Actinonaias ligamentina"
"1690",19286291,"Actinonaias ligamentina"
"1691",19286353,"Actinonaias ligamentina"
"1692",19286369,"Actinonaias ligamentina"
"1693",19286495,"Actinonaias ligamentina"
"1694",19286699,"Actinonaias ligamentina"
"1695",19286731,"Actinonaias ligamentina"
"1696",19287011,"Actinonaias ligamentina"
"1697",19287027,"Actinonaias ligamentina"
"1698",19287035,"Actinonaias ligamentina"
"1699",19287061,"Actinonaias ligamentina"
"1701",19287121,"Actinonaias ligamentina"
"1706",19289305,"Actinonaias ligamentina"
